TRAFFIC_CONTROL_DEVICE,WEATHER_CONDITION,LIGHTING_CONDITION,ALIGNMENT,ROADWAY_SURFACE_COND,POSTED_SPEED_LIMIT,TRAFFICWAY_TYPE,CRASH_TYPE,DAMAGE,MOST_SEVERE_INJURY,INJURIES_TOTAL,narratives
NO CONTROLS,RAIN,DAYLIGHT,STRAIGHT AND LEVEL,WET,30,NOT DIVIDED,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",INCAPACITATING INJURY,1,"As I was cruising down the straight and level roadway with no traffic controls in sight, I couldn't help but notice the rain pouring down relentlessly. Despite the daylight beaming overhead, the wet roadway surface shimmered under the gray clouds. I was sticking to the posted speed limit of 30 mph, being cautious in these less-than-ideal conditions. The trafficway was not divided, with cars moving in both directions just a lane away. The combination of the rain and the wet surface had me gripping the wheel a little tighter, ensuring I stayed focused on the road ahead. The lack of controls meant it was up to every driver to navigate the conditions safely."
TRAFFIC SIGNAL,CLOUDY/OVERCAST,DAYLIGHT,STRAIGHT AND LEVEL,WET,30,FOUR WAY,NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"As I was driving down the straight and level road on a cloudy day, the traffic signal ahead turned red, so I started slowing down. It was daylight, but the wet road surface made me a bit cautious. The posted speed limit of 30 seemed adequate for this four-way intersection. I could see other vehicles approaching from all directions, and we were all taking it slow due to the conditions. The traffic flow was moderately heavy, but everyone seemed to be following the signals and being careful."
NO CONTROLS,CLEAR,DUSK,STRAIGHT AND LEVEL,DRY,15,OTHER,INJURY AND / OR TOW DUE TO CRASH,$500 OR LESS,NONINCAPACITATING INJURY,1,"As I cruised down the straight and level road, the sun was setting, casting a golden hue over the surroundings. The lack of traffic controls meant I had to be extra cautious, especially with the posted speed limit being just 15 mph. Despite the dusk setting in, the weather was clear, giving me a clear view of the road ahead. The dry surface offered good traction, and the trafficway type being categorized as 'other' added a sense of unpredictability to the journey. The combination of these factors made for an interesting drive, requiring me to stay alert and ready for anything that may come my way."
NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,20,NOT DIVIDED,NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"I was driving down a straight and level road with no traffic controls in place. It was a clear night, but luckily the road was well lit. The surface was dry, making for good driving conditions. Even though the posted speed limit was just 20, I didn't mind taking it easy and enjoying the peaceful drive. The road was not divided, but that was fine, as there wasn't much traffic at this late hour. I felt relaxed behind the wheel, taking in the quiet surroundings as I cruised along."
STOP SIGN/FLASHER,RAIN,DAYLIGHT,STRAIGHT AND LEVEL,WET,30,FOUR WAY,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",NO INDICATION OF INJURY,0,"I was cruising down the road on a straight and level four-way intersection, where a stop sign was the only thing to watch out for. The rain was pouring down, making everything wet and slippery. Thankfully, it was still daylight, so visibility wasn't too bad. The posted speed limit was 30, so I made sure to keep it steady. The road surface was definitely slick, and I could feel my tires losing grip a bit. Gotta be extra cautious in these conditions."
TRAFFIC SIGNAL,UNKNOWN,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,UNKNOWN,30,FOUR WAY,NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"I was driving along a straight and level road, approaching the intersection of a four-way junction. As I neared the traffic signal, the darkness of the night enveloped the surroundings, but thankfully the road was well-lit. The posted speed limit was 30, so I made sure to maintain a safe speed. The traffic signal ahead was red, so I began to slow down, ready to come to a stop. The weather conditions were unknown, adding an element of mystery to the peaceful night drive. Despite the uncertainty, I proceeded cautiously, keeping an eye out for any unexpected changes in the road ahead. The intersection was quiet, with no other vehicles in sight, allowing me to focus on my approach to the traffic signal. The roadway surface condition was also unknown, but the road felt smooth and well-maintained under my tires. I took a deep breath, preparing to come to a halt as I reached the intersection, anticipating the signal to change soon."
NO CONTROLS,UNKNOWN,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,UNKNOWN,30,NOT DIVIDED,NO INJURY / DRIVE AWAY,"$501 - $1,500",NO INDICATION OF INJURY,0,"I was driving down a familiar street with no traffic signals in sight. The weather was a mystery, and the darkness enveloped the road despite the streetlights providing some visibility. The road ahead was straight and level, making for a smooth drive. As I continued along the unmarked road with an unknown surface condition, I noticed the posted speed limit of 30 mph keeping me in check. The trafficway remained undivided, with vehicles sharing the space. Despite the lack of controls, I kept my focus on the road ahead, navigating through the dimly lit surroundings."
TRAFFIC SIGNAL,CLEAR,DARKNESS,STRAIGHT AND LEVEL,DRY,30,NOT DIVIDED,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",NONINCAPACITATING INJURY,3,"I was cruising down the straight and level road, the traffic signal ahead turning from red to green as I approached. The weather was clear, but darkness was starting to set in. The road surface was dry, making for a smooth ride. I was keeping an eye on the 30 mph speed limit, making sure not to go over. The trafficway was not divided, so I had to be cautious of oncoming vehicles. Everything seemed normal as I continued on my way, enjoying the quiet night drive."
NO CONTROLS,RAIN,DAYLIGHT,STRAIGHT AND LEVEL,WET,35,NOT DIVIDED,NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"I was driving down a straight and level road with no traffic control devices in sight. It was still daylight out, but the rain was coming down pretty hard. The wet roadway surface had me gripping the steering wheel a bit tighter than usual, even though the speed limit was only 35. The road wasn't divided, so I had to be cautious of oncoming traffic. Despite the conditions, I was keeping a close eye on the road ahead, trying to anticipate any unexpected obstacles that might come my way. The visibility was decent, thanks to the daylight, but the rain made everything look a bit blurry. I knew I had to stay focused and alert to navigate through these less-than-ideal conditions safely."
NO CONTROLS,UNKNOWN,DARKNESS,STRAIGHT AND LEVEL,OTHER,30,NOT DIVIDED,NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"I was cruising down a straight and level road with no traffic controls in sight. It was dark out and the weather was unknown, adding an element of mystery to the drive. The road surface felt a bit different under my tires, but I didn't think too much of it. The speed limit was set at 30, so I made sure to keep an eye on my speedometer. Since the trafficway wasn't divided, I had to be extra cautious of oncoming vehicles. The lack of lighting made it a bit challenging to see far ahead, but I kept my focus on the road. It felt like I was the only one on the road, just me and the darkness enveloping the surroundings. Little did I know, things were about to take a turn..."
TRAFFIC SIGNAL,RAIN,DAWN,STRAIGHT AND LEVEL,WET,30,FOUR WAY,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",NONINCAPACITATING INJURY,1,"I was driving down a straight and level road at dawn when I approached a four-way intersection. The traffic signal ahead was showing red, so I slowed down to a stop. It had been raining earlier, leaving the road surface wet and a bit slick. The posted speed limit was 30, so I was going at a moderate pace. The intersection was well-lit, but the wet road made me extra cautious. I could see cars approaching from all directions, so I double-checked before proceeding when the light turned green."
UNKNOWN,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,30,DIVIDED - W/MEDIAN BARRIER,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",NO INDICATION OF INJURY,0,"I was driving down a straight and level road with a median barrier separating the lanes. It was dark out, but luckily the road was well-lit. The weather was clear, and the roadway surface was dry, making for good driving conditions. I didn't notice any traffic control devices around, but the posted speed limit was 30, so I made sure to stick to that. The road was divided, with the median barrier providing a sense of security between opposing lanes. It felt like a calm and straightforward drive as I made my way along the well-maintained road."
NO CONTROLS,CLOUDY/OVERCAST,DAYLIGHT,STRAIGHT AND LEVEL,WET,25,ONE-WAY,NO INJURY / DRIVE AWAY,"$501 - $1,500",NO INDICATION OF INJURY,0,"I was cruising down the one-way street, soaking in the daylight on a cloudy overcast day. There were no traffic control devices in sight, making it a pretty chill drive. The road surface was wet from earlier rain, adding a bit of challenge to my journey. The alignment was straight and level, so I had a clear view ahead. I made sure to stick to the posted speed limit of 25, just taking it easy and enjoying the ride."
NO CONTROLS,FOG/SMOKE/HAZE,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,WET,30,NOT DIVIDED,NO INJURY / DRIVE AWAY,$500 OR LESS,NO INDICATION OF INJURY,0,"I was driving along a straight and level road with no traffic controls in place, it was dark out but thankfully the road was well lit. The weather was not on my side that night, as thick fog enveloped the area making visibility quite challenging. The wet road surface added to the difficulty of the drive, making me extra cautious. The posted speed limit was 30 mph, and the road was not divided, so I had to be mindful of oncoming traffic. Despite the conditions, I kept my focus and continued on my way, hoping to reach my destination safely."
NO CONTROLS,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,30,DIVIDED - W/MEDIAN BARRIER,NO INJURY / DRIVE AWAY,$500 OR LESS,NO INDICATION OF INJURY,0,"I was cruising along a straight and level divided road with a median barrier, and there were no traffic controls in sight. The weather was clear, the daylight shining down on the dry road surface. The posted speed limit of 30 was keeping me in check as I made my way through the trafficway. The road felt calm and peaceful, with no obstructions in my path."
NO CONTROLS,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,25,ALLEY,NO INJURY / DRIVE AWAY,"$501 - $1,500",NO INDICATION OF INJURY,0,"As I made my way down the quiet alley, I noticed there were no stop signs or traffic lights to worry about, just me and the open road. The weather was clear and the sun was shining brightly, casting a warm glow on the pavement. With the perfect daylight visibility, I could see everything clearly ahead of me. The alley was straight and level, making it easy to navigate without any unexpected turns or obstacles in my path. The dry roadway surface provided good traction as I drove at the posted speed limit of 25 miles per hour. It was a peaceful drive, with not much traffic around, allowing me to enjoy the simple pleasure of cruising down the empty alleyway."
NO CONTROLS,RAIN,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,WET,30,NOT DIVIDED,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",NO INDICATION OF INJURY,0,"I was driving down the straight and level road on a rainy evening, the pavement glistening under the streetlights. There were no traffic controls in sight, so I made sure to keep a steady pace within the 30 mph speed limit. The road was wet, causing my tires to grip the slick surface with a bit of uncertainty. Despite the darkness, the road was well-lighted, helping me navigate through the dim conditions. The trafficway was undivided, with vehicles sharing the same lane in both directions. I felt a sense of caution as I continued on my way, mindful of the potential hazards that the wet road could present."
NO CONTROLS,CLOUDY/OVERCAST,DAYLIGHT,STRAIGHT AND LEVEL,DRY,25,ONE-WAY,NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"Alright, so there I was cruising down the one-way street where there ain't no stop signs or traffic lights to hold me back. The weather was a bit gloomy with the skies all cloudy and overcast, but at least it was still daylight, so visibility was pretty decent. The road itself was straight as an arrow, all level and easy to navigate, with the surface nice and dry. The speed limit was just 25, so I was taking it easy and enjoying the drive. The street was pretty empty, not much traffic around, which made things even smoother. Overall, it was a chill ride down that one-way road, just me and the open path ahead."
NO CONTROLS,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,30,NOT DIVIDED,NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"I was driving down a straight and level road with no traffic lights around, just cruising under the clear blue skies on a beautiful daylight. The road was dry as a bone, and with a 30 mph speed limit, I was taking it easy. The traffic wasn't separated by any barriers, just one big open lane going each way. It felt like an easy drive, no need to rush."
NO CONTROLS,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,UNKNOWN,30,NOT DIVIDED,NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"Before everything went haywire, I was cruising down a straight, level road with no traffic controls in sight. The weather was clear, and the sun was shining brightly, casting long shadows on the pavement. Since it was broad daylight, visibility was crystal clear, and I could see far ahead. The road surface condition was unknown to me, adding a sense of mystery to the journey. The posted speed limit was 30 miles per hour, so I was taking it easy, enjoying the drive without any rush. The trafficway was not divided, with cars sharing the same lane in both directions. As I navigated this familiar route, I felt a sense of calm wash over me, appreciating the simplicity of the road ahead. Little did I know what was about to unfold, changing the course of my day in the blink of an eye."
NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,30,NOT DIVIDED,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",NONINCAPACITATING INJURY,1,"As I cruised down the straight and level road under the cover of darkness, the lighted road ahead guided my way. There were no traffic control devices to slow me down, so I kept a steady pace on the dry road surface. The weather was clear, offering a crisp night air that seeped through my car windows. With a posted speed limit of 30, I made sure to stay within the designated range. The trafficway was not divided, allowing for a continuous flow of vehicles in both directions. The conditions seemed ideal for a smooth drive as I navigated through the uncontrolled intersection."
STOP SIGN/FLASHER,UNKNOWN,UNKNOWN,STRAIGHT AND LEVEL,WET,20,ONE-WAY,NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"I was driving down a straight and level one-way road with a speed limit of 20 mph. The wet surface made me a bit cautious, unsure about what the weather had in store for me. As I approached the intersection, I noticed the stop sign flashing, reminding me to come to a complete halt. The lighting conditions were a bit unclear at that moment, adding to the mystery of my surroundings. Despite the unknowns, I proceeded carefully, making sure to follow the traffic control device's instructions. The road ahead seemed empty, offering a clear path for me to navigate. The atmosphere was filled with a sense of anticipation, not knowing what the next turn would bring."
NO CONTROLS,RAIN,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,WET,30,NOT DIVIDED,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",NO INDICATION OF INJURY,0,"I was driving down a straight and level road that had no traffic controls in place. It was a rainy evening with darkness setting in, but luckily the road was well-lit. The wet surface of the roadway made me extra cautious as I navigated the not divided trafficway. The posted speed limit was 30, so I made sure to keep my speed in check. Despite the weather conditions, the road alignment was clear, allowing me to see ahead."
TRAFFIC SIGNAL,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,30,"FIVE POINT, OR MORE",INJURY AND / OR TOW DUE TO CRASH,"$501 - $1,500","REPORTED, NOT EVIDENT",1,"I was cruising down the road on a bright sunny day, with the traffic signal ahead flashing green. The sky was clear, and the sunlight was beaming down, making everything look so crisp and clear. The road was straight and flat, with dry asphalt under my wheels, making for a smooth ride. The speed limit was 30, and I was sticking to it, just enjoying the drive. The trafficway was wide, with multiple lanes stretching out in front of me, giving plenty of room to maneuver. A perfect day for a leisurely drive, with no obstacles in sight."
YIELD,RAIN,DAYLIGHT,STRAIGHT AND LEVEL,WET,30,NOT DIVIDED,NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"So, there I was, cruising down the straight and level road with a speed limit of 30 mph. The weather outside was pretty dreary, with rain pouring down making everything look wet. Despite the rain, thankfully, the daylight helped visibility on the road. As I approached an intersection, I noticed the traffic control device was a yield sign. The road was not divided, so all the vehicles were sharing the same lanes. The roadway surface was slick from the rain, causing me to be extra cautious with my driving. The combination of the wet road and the yield sign ahead made me anticipate potential challenges up ahead. With my hands gripped firmly on the wheel, I slowed down a bit, keeping an eye out for any other vehicles around. Little did I know, the events about to unravel were beyond my control."
NO CONTROLS,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,30,OTHER,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",NO INDICATION OF INJURY,0,"I was cruising down a straight and level road with no traffic controls in sight. The weather was clear, the sun shining brightly in the daylight. The road surface was dry, and the posted speed limit was 30, so I was just taking it easy. The trafficway type was marked as ""other,"" which added a bit of mystery to the drive. Everything seemed calm and peaceful as I made my way through the familiar surroundings, enjoying the freedom of the open road."
NO CONTROLS,RAIN,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,WET,30,ALLEY,NO INJURY / DRIVE AWAY,"$501 - $1,500",NO INDICATION OF INJURY,0,"I was cruising down this dimly lit alley with no stop signs or traffic lights in sight. The rain was coming down pretty hard, making the road surface wet and slippery. Lucky for me, the road was straight and level, so I didn't have to worry about any sharp turns or steep inclines. The alley was well-lit, but the darkness and rain still made visibility a bit tough. I was sticking to the 30 mph speed limit, just trying to get to my destination safely."
NO CONTROLS,CLEAR,DAYLIGHT,"CURVE, LEVEL",DRY,30,NOT DIVIDED,NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"I was driving down the road on a sunny day with clear skies, and there weren't any traffic lights or stop signs around. The road was dry, and the sun illuminated everything brightly as it was still daylight. I was cruising along at 30 miles per hour, enjoying the scenery around me. The road ahead suddenly curved sharply, the alignment making me slightly nervous but I stayed focused. The road was level, and since it wasn't divided, I had to be extra cautious of oncoming vehicles. Despite the curve and lack of dividers, the road surface felt smooth under my tires, providing good traction. I adjusted my speed as I entered the curve, making sure to stay within the posted limit. The gentle hum of the engine and the sound of the wind outside created a peaceful atmosphere inside the car. The surroundings were serene, with trees lining the sides of the road, their leaves rustling in the gentle breeze. I kept my eyes on the road ahead, ready for whatever might come my way."
STOP SIGN/FLASHER,RAIN,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,WET,30,NOT DIVIDED,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",NONINCAPACITATING INJURY,2,"I was driving down a straight and level road in the darkness of the rainy night, the only illumination coming from the street lights. The wet road surface was glistening under the light, making it a bit slippery. As I continued on, I noticed a stop sign ahead, its red color reflecting in the rain. Knowing the speed limit was 30, I slowed down and approached the intersection cautiously. The road was not divided, so I had to be extra careful of oncoming traffic. Despite the challenging weather conditions, I was alert and focused on the road ahead, making sure to stay within the speed limit and ready to stop at the intersection."
TRAFFIC SIGNAL,FOG/SMOKE/HAZE,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,WET,35,NOT DIVIDED,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",NO INDICATION OF INJURY,0,"So there I was, cruising down the road on a dark and drizzly evening with the traffic signal ahead glowing red through the foggy haze. The road was straight and level, illuminated by the dim glow of streetlights, making the wet pavement glisten under my tires. The posted speed limit of 35 felt like a crawl in these conditions, but I wasn't taking any chances. The road was not divided, so I kept my eyes peeled for any oncoming traffic. The eerie atmosphere created by the combination of darkness, fog, and wet road surface had me on high alert, gripping the wheel tightly as I navigated through the mysterious night. Little did I know, what was about to unfold ahead of me..."
TRAFFIC SIGNAL,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,30,NOT DIVIDED,NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"I was driving down a straight and level road, with a traffic signal up ahead. It was nighttime, but luckily the road was well-lit, making visibility pretty good. The weather was clear, so I could see the road clearly. The surface was dry, and I was following the posted speed limit of 30 miles per hour. The road wasn't divided, so I stayed in my lane, cruising along with no obstructions in my path."
TRAFFIC SIGNAL,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,30,FOUR WAY,NO INJURY / DRIVE AWAY,"$501 - $1,500",NO INDICATION OF INJURY,0,"I was driving down the straight and level road, approaching the four-way intersection where a traffic signal regulated the flow of vehicles. It was a clear night, and the road was well lit, making it easy to see my surroundings. The dry surface of the pavement felt smooth under my tires as I maintained the 30 mph speed limit. Despite the darkness, the streetlights illuminated the area, providing a sense of security. The familiar sight of the traffic signal ahead reminded me to stay alert and ready to react to any changes in the traffic pattern."
NO CONTROLS,FOG/SMOKE/HAZE,DARKNESS,STRAIGHT AND LEVEL,DRY,45,DIVIDED - W/MEDIAN (NOT RAISED),NO INJURY / DRIVE AWAY,"$501 - $1,500",NO INDICATION OF INJURY,0,"I was driving down a straight and level divided highway with a grassy median in the middle, and there were no traffic control devices in sight. It was nighttime and the darkness enveloped everything around me, making it difficult to see far ahead. To make matters worse, fog was rolling in, creating a haze that obscured my vision even more. Despite the challenging conditions, the roadway surface was dry and I was going at the posted speed limit of 45 miles per hour. The familiar hum of my engine filled the air as I kept my hands firmly on the wheel, trying to stay focused on the road ahead. The headlights pierced through the fog, casting an eerie glow on the surroundings. The emptiness of the highway added to the sense of isolation, with only the occasional passing car breaking the monotony. As I continued on my journey, the combination of darkness, fog, and lack of visibility made me uneasy, heightening my senses as I navigated through the mysterious shroud ahead."
TRAFFIC SIGNAL,RAIN,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,WET,30,UNKNOWN INTERSECTION TYPE,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",NO INDICATION OF INJURY,0,"So there I was, cruising down the road at about 9 pm, the streetlights casting a dim glow on the wet pavement. It had been raining pretty steadily, and as I approached the unknown intersection, I noticed the traffic signal ahead was the typical red glow. The road was straight and level, making it easy to navigate despite the darkness. I remember checking my speedometer and seeing I was right at the posted speed limit of 30 mph. The intersection felt a bit eerie with the rain adding to the low visibility, but I kept my focus ahead, ready to navigate whatever lay beyond the traffic signal."
NO CONTROLS,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,30,NOT DIVIDED,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",NONINCAPACITATING INJURY,1,"I was cruising down the road, there weren't any stop signs or traffic signals, so I kept a steady pace. The weather was beautiful, clear skies all around. It was daytime and the sunlight was illuminating everything crisply. The road ahead was straight and level, making for an easy drive. The pavement was dry and smooth under my tires, providing good traction. The speed limit was 30, so I was just taking it easy. The road was a two-lane undivided stretch, with oncoming traffic visible in the other lane."
NO CONTROLS,RAIN,DAYLIGHT,STRAIGHT AND LEVEL,WET,25,NOT DIVIDED,NO INJURY / DRIVE AWAY,"$501 - $1,500",NO INDICATION OF INJURY,0,"I was cruising down a straight and level road where there weren't any traffic signals or signs telling me what to do. The weather was not on my side - the rain was coming down pretty hard. It was daylight, so at least I could see clearly. The road was wet from the rain, making it a bit slippery. The speed limit was only 25, so I was taking it easy. The road wasn't divided, just a single lane going each way."
TRAFFIC SIGNAL,RAIN,DAYLIGHT,STRAIGHT AND LEVEL,WET,25,FOUR WAY,NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"I was driving along a straight and level road at daylight, with a four-way intersection coming up ahead. The traffic signal indicated for me to slow down as it was a wet day due to the rain. The posted speed limit of 25 miles per hour was in effect, so I made sure to keep my speed in check. The road surface was slick, making it important to be cautious. Despite the weather conditions, the visibility was decent so I could see other vehicles approaching the intersection."
NO CONTROLS,UNKNOWN,UNKNOWN,STRAIGHT AND LEVEL,UNKNOWN,25,NOT DIVIDED,NO INJURY / DRIVE AWAY,"$501 - $1,500",NO INDICATION OF INJURY,0,"Alright, so I was cruising down this straight and level road with no stop signs or traffic lights in sight. The weather was a bit iffy, couldn't really make out if it was sunny or cloudy. The same goes for the lighting condition, it was neither too bright nor too dark. The road surface felt normal under my wheels, nothing slippery or rough. The speed limit was set at 25 miles per hour, so I was taking it easy. The trafficway was not divided, just a simple two-way street with cars parked along the sides. All in all, it seemed like a pretty standard drive, nothing out of the ordinary."
NO CONTROLS,RAIN,DAYLIGHT,STRAIGHT AND LEVEL,WET,30,ONE-WAY,NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"I was cruising down the one-way street, with no traffic control device in sight. It was raining pretty heavily, making the road surface wet and a bit slippery. But the daylight was on my side, so visibility wasn't too bad. The straight and level alignment of the road made for an easy drive, although I knew to keep my speed in check since the posted speed limit was only 30. Despite the rain, I could see the road clearly ahead thanks to the daylight."
NO CONTROLS,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,WET,20,PARKING LOT,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",NO INDICATION OF INJURY,0,"As I made my way through the parking lot, I noticed there were no traffic controls present, so I proceeded cautiously. The weather was clear, with the sun shining brightly overhead, providing excellent visibility. The lighting conditions were ideal as it was still daylight, allowing me to see everything clearly. The road ahead was straight and level, making it easy to navigate. However, I couldn't help but notice that the roadway surface was wet, possibly from recent rain showers. I reminded myself to keep my speed in check as the posted speed limit was only 20 miles per hour. Despite the wet surface, the straight alignment of the road made it a smooth drive."
NO CONTROLS,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,30,OTHER,NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"So there I was, cruising down the road on a clear day with the sun shining bright overhead. The road was straight as an arrow, with no pesky curves or bumps to mess with my smooth ride. The lack of any traffic controls gave me the freedom to pick up speed, though I made sure to stick to the posted limit of 30 just to play it safe. The pavement was dry and in good condition, providing a solid grip for my tires. As I drove along this 'other' type of trafficway, everything seemed calm and easy, with no obstacles in my path. The daylight beaming down made it all feel effortless, and I was just enjoying the simple pleasure of a peaceful drive."
NO CONTROLS,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,25,DIVIDED - W/MEDIAN (NOT RAISED),NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"As I drove along the straight and level road with a median in the middle, there were no traffic controls in sight. The weather was clear, the daylight illuminating the dry pavement ahead of me. The posted speed limit was 25 mph, and the trafficway was divided with a median running through the middle of the road. The conditions were ideal for a smooth and uneventful drive, with no obstacles in my path. The serene environment made for a peaceful journey as I continued down the highway, enjoying the scenery passing by on either side of me."
NO CONTROLS,UNKNOWN,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,UNKNOWN,25,ONE-WAY,NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"Well, it was getting pretty dark out there as I drove down a one-way street with no traffic controls in place. The road was straight and level, which made for a smooth ride despite the unknown weather condition. Thankfully, the road was well-lit, so I could see clearly ahead. I made sure to stick to the posted speed limit of 25 miles per hour, just cruising along with no hindrances. The surface condition of the roadway was a mystery to me, but that didn't bother me much. Just enjoying the drive on this quiet street."
UNKNOWN,UNKNOWN,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,UNKNOWN,30,NOT DIVIDED,NO INJURY / DRIVE AWAY,"$501 - $1,500",NO INDICATION OF INJURY,0,"I was driving down a straight and level road where the streetlights were on, illuminating the dark night. There were no traffic signs or signals around, so I had to pay extra attention to my surroundings. The road surface condition seemed normal, though I couldn't tell much about the weather. The speed limit was 30, so I was cruising along at a leisurely pace. The roadway was not divided, with just a single lane in each direction, making it feel a bit tight at times. Overall, it was a peaceful drive, but I had to stay alert due to the lack of traffic control devices."
NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,40,RAMP,NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"As I was driving down the dark, but well-lit ramp with no traffic signals in sight, the road stretched out before me straight as an arrow. The weather was clear, and the surface dry, making for a smooth ride. I glanced at the speed limit sign, reminding myself it was 40 mph. Despite the darkness around me, the road ahead was well lit, allowing me to see clearly. The alignment of the ramp was perfect, no curves or bends to navigate through. It was a straightforward drive on a level surface, giving me a sense of ease as I continued on my way."
STOP SIGN/FLASHER,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,30,ONE-WAY,NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"I was cruising down the one-way street, it was dark out but the road was well-lit. The dry pavement made for a smooth ride at the posted speed limit of 30. As I approached the intersection, I noticed a stop sign with flashing lights ahead. Despite the clear weather, I made sure to slow down and come to a complete stop. The road ahead was straight and level, with no obstacles in sight. The night was quiet, with just a few cars passing by. It felt like a peaceful drive through the city, with the stop sign serving as a gentle reminder to stay cautious on the road."
TRAFFIC SIGNAL,RAIN,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,WET,30,DIVIDED - W/MEDIAN (NOT RAISED),INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",FATAL,1,"So there I was, cruising down the road on a rainy evening with the traffic signal up ahead flashing its red and green lights. The darkness was creeping in but thankfully the road was well-lit, keeping my surroundings visible. The straight and level alignment of the road made it easy to navigate, even with the wet surface causing a bit of slipperiness. With a posted speed limit of 30, I was taking it easy, mindful of the divided roadway with a median running through it. It was one of those nights where you just wanted to get home safely, enjoying the quiet hum of the engine and the patter of rain on the windshield. Little did I know, things were about to take a turn."
